time,right ankle,left ankle,right knee,left knee,right hip,left hip,right shoulder,left shoulder,right elbow,left elbow,right wrist,left wrist,right foot,left foot,right shank,left shank,right thigh,left thigh,pelvis,trunk,shoulders,right arm,left arm,right forearm,left forearm
0.0,-312.8088286972012,-249.21729381963212,-245.18299662637617,-230.25649829203607,151.81176724513557,150.89380520779545,98.2532752019356,80.861867949678,11.140037495060492,21.24401143870037,-0.3012382783680596,-166.13453422536782,-305.20263301981794,-257.52457615771715,277.60156992275415,-98.24287465161068,32.41858934994236,31.50062727154816,53.11485467819695,60.60682206375506,-380.07785261186825,-21.142019792966913,-38.53343248248638,-9.999887754434392,-17.291295220711948
0.0200313971742543,-321.5986140150244,-272.7931862040247,-245.26694130677424,-232.49691777866275,152.66203888293433,152.47253491273952,99.7727418651548,79.08360893802913,9.801678601283111,23.163580982224023,-1.0630354130071815,-165.83451806518224,-315.4030102316164,-278.4865155784525,277.7626515675242,-95.1968540093606,32.49573247723372,32.306228434405526,46.86929070350861,59.81872491238949,-360.69425681127007,-20.39617357927697,-41.086570548196455,-10.584263805692888,-17.90122424394512
0.0400627943485086,-329.74790906396515,-297.4896172674496,-245.7284552391711,-234.9763189233177,153.41936563387654,153.93613251160085,101.2201030759392,77.556311239031,8.58392680553273,25.199022722970874,-1.802985670176911,-165.89932918582102,-324.35092242509313,-300.2199490564719,278.2900031904502,-91.9453497421068,32.561564553558426,33.07833134412598,41.102032138117835,59.11687689408206,-342.9184457477047,-19.638980947867857,-43.30632897626764,-11.111973747647973,-18.295579132199173
0.0600941915227629,-336.6118385071824,-321.31739773938386,-246.7090883882967,-237.64573586559345,154.0649746947822,155.1728747967117,102.57873328898158,76.51285388382942,7.62198082708383,27.24903104715117,-2.40784865430889,-166.4887808239827,-330.73677201774035,-320.7879104730594,279.3330774101196,-88.62239142371074,32.623972033337736,33.731872097903995,36.19761692235233,58.53741116723367,-327.3953088642326,-18.858390160912503,-44.93068257513015,-11.500076414608683,-18.51094804950102
0.0801255886970172,-341.94872827207814,-340.7059305126352,-248.14201178011848,-240.3491342156502,154.52051837257576,156.0060064127711,103.83119698295164,76.08915741770124,6.965421923962913,28.938322555090117,-2.672872330525529,-167.50606147967426,-334.144189554181,-336.8427858137562,280.78319157012396,-85.52429180833853,32.64108403165262,34.12657221696121,31.87168524119784,58.133292297142155,-314.4824736860835,-18.03358561677393,-45.78351778740364,-11.693856959130242,-18.78886587538573
0.1001569858712715,-345.9057005921549,-353.737755576929,-250.01806550126096,-243.22292028375713,154.57438715224566,156.18088354612846,104.90604757236152,76.37341482579663,6.550894148870126,29.645017488694137,-2.4410361055287564,-168.53446298292752,-335.2744872776809,-346.37083792521815,282.47025830865505,-82.71860851147608,32.451971085368946,34.05846799677052,27.71756034009274,57.97410479624386,-305.43943844287224,-17.186124633501255,-45.72261376670036,-11.662936295723291,-19.242296084747185
0.1201883830455259,-348.7726146118066,-360.846365299093,-252.40224530692737,-246.62446928310132,154.10146573187535,155.59826482308154,105.77207400223244,77.41986784812867,6.310392557511458,28.863651899102763,-1.8526763791146716,-168.93424714040003,-335.1165031952928,-349.3566920275296,284.25910432385217,-80.02221865081398,31.856507924607705,33.35330806078471,24.194151395019773,57.98936528068852,-299.8175243281146,-16.42956628396039,-44.76996778660848,-11.33688059152304,-19.62080757983075
0.1402197802197802,-350.8735405729931,-363.4832121341123,-255.1760607459289,-250.51708942395845,153.1346982821841,154.43604594177327,106.425995380471,79.16865498290002,6.271349264518626,26.68343615823649,-1.4147160880656189,-168.4152537503892,-334.3665410398427,-347.1283657298373,285.95309883804254,-77.40487561335179,30.776683748244785,32.078032872076854,22.00425806580698,58.02524341377228,-294.04583396777844,-15.896607165921283,-43.10949866279998,-10.659551132864038,-19.576131280876425
0.1602511773940345,-352.5007491331496,-362.96451071794274,-258.0905071555421,-254.30852754938135,151.6678734962621,152.96801620486738,106.77582766908144,81.34518772255755,6.540599528055078,23.799678879391415,-1.6330536175611927,-167.40512444807786,-333.4236455249896,-341.88744749016496,287.37448717670185,-75.10734562240742,29.283988600810513,30.584132441279607,20.974195314745767,58.06701041985011,-285.8110924717526,-15.632588225110457,-40.97158198954786,-9.678847883197216,-19.119566158777637
0.1802825745682888,-353.81010687356843,-360.57104666099167,-261.12945761911493,-257.5363460214732,149.62517937946552,151.3790035226951,106.67326227003848,83.43855595090247,7.2191068406317696,21.098915707184055,-2.531617640124152,-166.61923298172655,-332.4851506571378,-336.4391375968302,288.62180836780055,-73.21645852098813,27.493394201881905,29.247217331799924,20.24966480891739,58.25155121123216,-276.6952310470109,-15.629697213937154,-38.7332865447828,-8.493435207924936,-18.55202610223245
0.2003139717425431,-354.71388671938035,-358.5267122933752,-264.6189065713874,-260.4161070871603,147.01371606962886,149.70272727286456,106.0425704638897,84.91142821491641,8.317692000891155,19.31682369319479,-3.573435863499775,-166.4448636884568,-331.5310059637719,-333.5081250202414,290.1119100387965,-71.39900619582666,25.495927298279707,28.18493238256597,19.245974922867443,58.716813957738296,-269.6992355699288,-15.88835011067448,-36.91259674295644,-7.1970736943746445,-18.04085605527178
0.2203453689167974,-355.0257161861296,-359.95041769379316,-268.8464449559503,-263.61609157341155,143.97905857615555,147.81420502605357,104.95185824026336,85.53622016496332,9.702519116879548,18.715099443245503,-4.082554686336435,-166.8350277739062,-330.29653271871587,-334.8961015681184,292.2018650087692,-69.18816180127808,23.360680671839734,27.195812745904263,18.10197263683248,59.47881566247885,-266.4222310323366,-16.34156174151844,-35.832278083397334,-5.919857990914504,-17.57306128978541
